Created on 07-08-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-11-12,BTCUSD,8721.54,8870,8556.56,8810,5998.48,52309416.1
2019-11-11,BTCUSD,9032.23,9067.34,8590,8721.54,6583.21,57726745.66
2019-11-10,BTCUSD,8807.89,9150,8731.43,9032.23,5486.95,49163885.78
2019-11-09,BTCUSD,8763.01,8873.48,8712.52,8807.89,4175.01,36726440.56
2019-11-08,BTCUSD,9198.84,9246,8660,8763.01,11993.34,106636768.56
2019-11-07,BTCUSD,9341.27,9375.16,9075,9198.84,5750.11,53024954.54
2019-11-06,BTCUSD,9322.09,9450,9253.66,9341.27,6804.27,63511566.93
2019-11-05,BTCUSD,9412.53,9474.89,9169.84,9322.09,7370.45,68801239.07
2019-11-04,BTCUSD,9206.52,9600,9127,9412.53,7784.61,72788331.95
2019-11-03,BTCUSD,9308.52,9380,9068.3,9206.52,4087.82,37603162.05
2019-11-02,BTCUSD,9253.12,9393,9210,9308.52,4459.93,41464474.87
2019-11-01,BTCUSD,9159.48,9299.99,9057.27,9253.12,7594.02,69592607.76
2019-10-31,BTCUSD,9164.44,9433,8950,9159.48,7983.57,73318984.84
2019-10-30,BTCUSD,9430.8,9431.36,8991.33,9164.44,9482.25,86949215.94
2019-10-29,BTCUSD,9226.5,9575,9068.19,9430.8,11914.92,111610779.7
2019-10-28,BTCUSD,9548.84,9939.69,9180.59,9226.5,16202.53,153997249.7
2019-10-27,BTCUSD,9259.78,9826.72,9102.33,9548.84,18715.47,177821816.82
2019-10-26,BTCUSD,8668,10527.86,8645.01,9259.78,46558,439572308.64
2019-10-25,BTCUSD,7430.87,8800.1,7389.91,8668,23523.09,194455896.53
2019-10-24,BTCUSD,7474.85,7509.99,7359.48,7430.87,7846.3,58449919.28
2019-10-23,BTCUSD,8024.72,8049,7296.44,7474.85,16883.87,127816159.26
2019-10-22,BTCUSD,8209.92,8317.14,7998.9,8024.72,5797.49,47436919.2
2019-10-21,BTCUSD,8236.12,8349.84,8156,8209.92,6117.88,50324877.58
2019-10-20,BTCUSD,7965.28,8309,7875.01,8236.12,6058.88,48985006.46
2019-10-19,BTCUSD,7954.16,8099.98,7873.46,7965.28,4691.13,37409933.56
2019-10-18,BTCUSD,8076.2,8117.77,7814.08,7954.16,6816.64,54138026.34
2019-10-17,BTCUSD,7993.54,8124.42,7937.01,8076.2,4909.27,39486092.64
2019-10-16,BTCUSD,8162.44,8171.59,7908.86,7993.54,8123.72,65132771.81
2019-10-15,BTCUSD,8355,8420,8085.65,8162.44,7919.56,65109952.98
2019-10-14,BTCUSD,8282.97,8409,8215.66,8355,4401.82,36575829.05
2019-10-13,BTCUSD,8309.03,8469.02,8146.47,8282.97,5459.53,45492326.33
2019-10-12,BTCUSD,8267.33,8425,8261.46,8309.03,3001.53,25023584.91
2019-10-11,BTCUSD,8587.5,8826,8226,8267.33,11975.39,101238415.25
2019-10-10,BTCUSD,8590,8660,8452.5,8587.5,7892.41,67531649.6
2019-10-09,BTCUSD,8180,8709,8121,8590,13865.37,117143751.99
2019-10-08,BTCUSD,8209,8342.97,8107.26,8180,5808.84,47674867.98
2019-10-07,BTCUSD,7859.79,8310.57,7762.35,8209,9969.38,80691163.82
2019-10-06,BTCUSD,8147.63,8176.18,7780.85,7859.79,7770.16,61753052.16
2019-10-05,BTCUSD,8156.67,8200,8020.2,8147.63,3809.86,30873507.65
2019-10-04,BTCUSD,8240.41,8241.35,8002.21,8156.67,7620.06,62078561.3
2019-10-03,BTCUSD,8381.72,8419.95,8059.22,8240.41,7550.73,62037926.73
2019-10-02,BTCUSD,8321.52,8391,8168.85,8381.72,7006.37,57883644.17
2019-10-01,BTCUSD,8304.96,8535,8200,8321.52,12133.1,101594010.63
2019-09-30,BTCUSD,8052.4,8393.23,7701,8304.96,14235.43,114990553.14
2019-09-29,BTCUSD,8217.47,8246.87,7902.96,8052.4,6911.51,55634607.52
2019-09-28,BTCUSD,8193.99,8343,8015.25,8217.47,8846.18,72162358.51
2019-09-27,BTCUSD,8060,8290,7861.02,8193.99,15793.45,127240779.09
2019-09-26,BTCUSD,8438.35,8464.08,7712.45,8060,25063.02,202894604.03
2019-09-25,BTCUSD,8530.01,8743.86,8222.01,8438.35,23161.99,195698351.99
2019-09-24,BTCUSD,9693.74,9777.16,8159.35,8530.01,31693.09,282987748.53
2019-09-23,BTCUSD,10026.8,10051.15,9609.37,9693.74,10409.03,102332904.43
2019-09-22,BTCUSD,9973.99,10097,9848.37,10026.8,5113.54,51003517.74
2019-09-21,BTCUSD,10168.85,10170.15,9917.34,9973.99,4829.81,48372943.24
2019-09-20,BTCUSD,10275.01,10309.84,10056.3,10168.85,6147.42,62522073.7
2019-09-19,BTCUSD,10155.26,10379.15,9585.86,10275.01,13548.83,134927397.8
2019-09-18,BTCUSD,10185.39,10258,10074.08,10155.26,5564.14,56681450.55
2019-09-17,BTCUSD,10262.54,10276.18,10135.44,10185.39,5710.49,58364825.36
2019-09-16,BTCUSD,10304.46,10379.98,10068.42,10262.54,7384.74,75476404.07
2019-09-15,BTCUSD,10360.25,10380,10263.39,10304.46,2735.17,28202179.16
2019-09-14,BTCUSD,10365.93,10439,10223.36,10360.25,4413.03,45673649.1
2019-09-13,BTCUSD,10423.72,10452.5,10157,10365.93,6799.62,70031660.47
2019-09-12,BTCUSD,10160.2,10460,10040,10423.72,7569.29,77805911.82
2019-09-11,BTCUSD,10093.01,10297.12,9851.97,10160.2,7694.14,77391519.96
2019-09-10,BTCUSD,10310,10389.26,9916,10093.01,7620.05,77363574.82
2019-09-09,BTCUSD,10398.97,10541.75,10059.99,10310,9351.39,96260009.31
2019-09-08,BTCUSD,10484.37,10595,10231.13,10398.97,4506.38,46958866.48
2019-09-07,BTCUSD,10308.92,10580,10304.52,10484.37,4352.96,45490740.26
2019-09-06,BTCUSD,10574.73,10939.34,10182.8,10308.92,14188.01,150243703.3
2019-09-05,BTCUSD,10581.84,10666.43,10452.15,10574.73,7307.17,77119779.28
2019-09-04,BTCUSD,10628.48,10833.14,10380,10581.84,11506.7,121635949.9
2019-09-03,BTCUSD,10381.26,10790,10280,10628.48,14521.81,153499426.59
2019-09-02,BTCUSD,9766.52,10485.48,9756.54,10381.26,11185.58,113202807.04
2019-09-01,BTCUSD,9600.86,9840,9539.58,9766.52,4028.8,38944156.72
2019-08-31,BTCUSD,9582.42,9707.48,9436.2,9600.86,3901.27,37406908.23
